timestamp,ip,req_per_IP_5min,error_ratio_per_IP,unique_UA_per_IP,size,Label
2019-01-22 04:30:41,17.58.102.43,11.0,0.0,1.0,35674,0
2019-01-22 04:30:42,66.249.66.194,151.0,0.0,3.0,34997,0
2019-01-22 04:30:42,66.249.66.194,152.0,0.0,3.0,43084,0
2019-01-22 04:30:42,66.249.66.91,106.0,0.0,2.0,41175,0
2019-01-22 04:30:44,66.249.66.91,104.0,0.0,2.0,40307,0
2019-01-22 04:30:45,204.18.175.72,74.0,0.0,1.0,75473,0
2019-01-22 04:30:46,63.143.42.242,2.0,0.0,1.0,0,0
2019-01-22 04:30:46,54.36.148.235,1.0,0.0,1.0,1271,0
2019-01-22 04:30:47,63.143.42.242,2.0,0.0,1.0,0,0
2019-01-22 04:30:47,40.77.167.170,59.0,0.0,2.0,73757,0
2019-01-22 04:30:47,66.249.66.194,148.0,0.0,3.0,1435,0
2019-01-22 04:30:48,66.249.66.194,148.0,0.0,3.0,34952,0
2019-01-22 04:30:49,40.77.167.170,60.0,0.0,2.0,36002,0
2019-01-22 04:30:49,66.249.66.194,149.0,0.0,3.0,19689,0
2019-01-22 04:30:49,40.77.167.170,61.0,0.0,2.0,31248,0
2019-01-22 04:30:49,66.249.66.91,105.0,0.0,2.0,41100,0
2019-01-22 04:30:50,66.249.66.194,150.0,0.0,3.0,0,0
2019-01-22 04:30:50,204.18.175.72,75.0,0.0,1.0,70088,0
2019-01-22 04:30:50,54.36.148.134,1.0,0.0,1.0,33177,0
2019-01-22 04:30:51,5.160.157.20,11.0,0.0,1.0,178,0
2019-01-22 04:30:51,5.160.157.20,12.0,0.0,1.0,178,0
2019-01-22 04:30:51,66.249.66.91,105.0,0.0,2.0,39664,0
2019-01-22 04:30:51,40.77.167.170,62.0,0.0,2.0,37415,0
2019-01-22 04:30:52,66.249.66.194,150.0,0.0,3.0,20915,0
2019-01-22 04:30:53,40.77.167.170,62.0,0.0,2.0,27661,0
2019-01-22 04:30:54,66.249.66.194,150.0,0.0,3.0,21235,0
2019-01-22 04:30:54,66.249.66.194,151.0,0.0,3.0,0,0
2019-01-22 04:30:55,40.77.167.170,63.0,0.0,2.0,38323,0
2019-01-22 04:30:55,66.249.66.91,103.0,0.0,2.0,41030,0
2019-01-22 04:30:55,66.249.66.194,150.0,0.0,3.0,0,0
2019-01-22 04:30:55,63.143.42.246,3.0,0.0,1.0,0,0
2019-01-22 04:30:56,157.55.39.245,9.0,0.0,1.0,69958,0
2019-01-22 04:30:56,66.249.66.194,150.0,0.0,3.0,19309,0
2019-01-22 04:30:56,63.143.42.246,4.0,0.0,1.0,0,0
2019-01-22 04:30:56,192.15.247.191,1.0,0.0,1.0,19467,0
2019-01-22 04:30:56,66.249.66.194,151.0,0.0,3.0,34212,0
2019-01-22 04:30:56,54.36.148.99,1.0,0.0,1.0,33745,0
2019-01-22 04:30:57,66.249.66.91,104.0,0.0,2.0,37195,0
2019-01-22 04:30:57,17.58.102.43,12.0,0.0,1.0,37906,0
2019-01-22 04:30:58,192.15.247.191,2.0,0.0,1.0,28536,0
2019-01-22 04:30:58,192.15.81.106,2.0,0.0,1.0,3718,0
2019-01-22 04:30:58,66.249.66.91,105.0,0.0,2.0,3580,0
2019-01-22 04:30:58,66.249.66.91,106.0,0.0,2.0,41406,0
2019-01-22 04:30:59,192.15.247.191,3.0,0.0,1.0,6496,0
2019-01-22 04:30:59,192.15.247.191,4.0,0.0,1.0,5807,0
2019-01-22 04:30:59,192.15.247.191,5.0,0.0,1.0,6454,0
2019-01-22 04:30:59,192.15.247.191,6.0,0.0,1.0,7356,0
2019-01-22 04:30:59,192.15.247.191,7.0,0.0,1.0,7713,0
2019-01-22 04:30:59,157.55.39.245,9.0,0.0,1.0,43837,0
2019-01-22 04:31:00,207.46.13.136,35.0,0.0,1.0,37398,0
2019-01-22 04:31:00,40.77.167.170,61.0,0.0,2.0,39052,0
2019-01-22 04:31:00,66.249.66.194,149.0,0.0,3.0,42062,0
2019-01-22 04:31:00,66.249.66.194,150.0,0.0,3.0,23309,0
2019-01-22 04:31:00,51.15.15.54,9.0,0.0,1.0,20762,0
2019-01-22 04:31:02,83.122.106.8,11.0,0.0,2.0,62894,0
2019-01-22 04:31:02,66.249.66.91,107.0,0.0,2.0,37560,0
2019-01-22 04:31:02,83.122.106.8,12.0,0.0,2.0,3863,0
2019-01-22 04:31:02,54.36.148.81,1.0,0.0,1.0,31232,0
2019-01-22 04:31:02,83.122.106.8,13.0,0.0,2.0,7146,0
2019-01-22 04:31:02,66.249.66.194,149.0,0.0,3.0,27813,0
2019-01-22 04:31:02,83.122.106.8,14.0,0.0,2.0,4859,0
2019-01-22 04:31:02,113.190.10.44,1.0,1.0,1.0,2285,0
2019-01-22 04:31:03,113.190.10.32,1.0,1.0,1.0,2285,0
